lng,lat,date,customdate,time,customtime,crime,location,region,province,modus,crimetype,station,moduscode,date_com,datechar
121.035,14.7003,2018-07-03,"Tue - Jul 3, 2018",02:00:00,2:00:AM,THEFT,"San Bartolome, Novaliches, Quezon City, NCR",130000000,137700000,Salisi (Establishment),10,Police Station 04 Novaliches,mc68,0000-00-00,Tue - Jul 
121.018,14.6645,2018-07-03,"Tue - Jul 3, 2018",04:30:00,4:30:AM,Drug Related Incident (RA 9165),"Bahay Toro, Talipapa, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 03 Talipapa,mc00,0000-00-00,Tue - Jul 
121.074,14.7055,2018-07-03,"Tue - Jul 3, 2018",16:14:00,4:14:PM,THEFT,"Fairview, Fairview, Quezon City, NCR",130000000,137700000,Pick-Pocketing,10,Police Station 05 Fairview,mc13,0000-00-00,Tue - Jul 
121.06,14.712,2018-07-03,"Tue - Jul 3, 2018",16:59:00,4:59:PM,Vehicular Traffic Accident,"North Fairview, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Tue - Jul 
121.061,14.7355,2018-07-03,"Tue - Jul 3, 2018",05:15:00,5:15:AM,Vehicular Traffic Accident,"Pasong Putik Proper (Pasong Putik), Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Tue - Jul 
121.036,14.7022,2018-07-03,"Tue - Jul 3, 2018",15:00:00,3:00:PM,ANTI-CARNAPPING ACT (R.A. 6539) MC,"San Bartolome, Novaliches, Quezon City, NCR",130000000,137700000,Swpu (Stolen While Parked),366,Police Station 04 Novaliches,mc86,0000-00-00,Tue - Jul 
121.07,14.6077,2018-07-03,"Tue - Jul 3, 2018",19:31:00,7:31:PM,ROBBERY,"Camp Aguinaldo, Project 4, Quezon City, NCR",130000000,137700000,Akyat Bahay,8,Police Station 08 Project 4,mc49,0000-00-00,Tue - Jul 
121.052,14.6254,2018-07-03,"Tue - Jul 3, 2018",03:40:00,3:40:AM,Drug Related Incident (RA 9165),"E. Rodriguez, Cubao, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 07 Cubao,mc00,0000-00-00,Tue - Jul 
121.059,14.7302,2018-07-03,"Tue - Jul 3, 2018",12:50:00,12:50:PM,Vehicular Traffic Accident,"Greater Lagro, Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Tue - Jul 
121.055,14.6211,2018-07-03,"Tue - Jul 3, 2018",14:30:00,2:30:PM,THEFT,"Socorro, Cubao, Quezon City, NCR",130000000,137700000,Shoplifting,10,Police Station 07 Cubao,mc72,0000-00-00,Tue - Jul 
121.058,14.7268,2018-07-03,"Tue - Jul 3, 2018",16:50:00,4:50:PM,Vehicular Traffic Accident,"Pasong Putik Proper (Pasong Putik), Fairview, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 05 Fairview,mc00,0000-00-00,Tue - Jul 
121.104,14.6923,2018-07-04,"Wed - Jul 4, 2018",00:00:00,12:00:AM,ROBBERY,"Bagong Silangan, Batasan, Quezon City, NCR",130000000,137700000, in an Uninhabited Place and by a Band,8,Police Station 06 Batasan,mc23,0000-00-00,Wed - Jul 
121.011,14.6559,2018-07-03,"Tue - Jul 3, 2018",23:30:00,11:30:PM,Drug Related Incident (RA 9165),"Apolonio Samson, La Loma, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 01 La Loma,mc00,0000-00-00,Tue - Jul 
121.001,14.6182,2018-07-03,"Tue - Jul 3, 2018",20:00:00,8:00:PM,RAPE (Art. 266-A RC & R.A.8353),"Santa Teresita, La Loma, Quezon City, NCR",130000000,137700000,Deprived of Reason or Unconcious (Under the Influence of Liquior),7,Police Station 01 La Loma,mc19,0000-00-00,Tue - Jul 
121.046,14.6318,2018-07-03,"Tue - Jul 3, 2018",18:00:00,6:00:PM,Drug Related Incident (RA 9165),"Pinyahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 10 Kamuning,mc00,0000-00-00,Tue - Jul 
121.065,14.6477,2018-07-03,"Tue - Jul 3, 2018",23:30:00,11:30:PM,Drug Related Incident (RA 9165),"U.P. Campus, Quirino, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 09 Quirino,mc00,0000-00-00,Tue - Jul 
121.051,14.6322,2018-07-04,"Wed - Jul 4, 2018",00:30:00,12:30:AM,Drug Related Incident (RA 9165),"Pinyahan, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 10 Kamuning,mc00,0000-00-00,Wed - Jul 
121.047,14.6272,2018-07-03,"Tue - Jul 3, 2018",21:52:00,9:52:PM,ROBBERY,"Pinagkaisahan, Kamuning, Quezon City, NCR",130000000,137700000,Bag/Purse Snatching,8,Police Station 10 Kamuning,mc7,0000-00-00,Tue - Jul 
121.074,14.6593,2018-07-04,"Wed - Jul 4, 2018",01:45:00,1:45:AM,Drug Related Incident (RA 9165),"U.P. Campus, Quirino, Quezon City, NCR",130000000,137700000,Not Indicated,916,Police Station 09 Quirino,mc00,0000-00-00,Wed - Jul 
121.034,14.6522,2018-07-03,"Tue - Jul 3, 2018",10:50:00,10:50:AM,THEFT,"Bagong Pag-Asa, Baler, Quezon City, NCR",130000000,137700000,Shoplifting,10,Police Station 02 Masambong,mc72,0000-00-00,Tue - Jul 
121.035,14.6328,2018-07-03,"Tue - Jul 3, 2018",13:55:00,1:55:PM,Vehicular Traffic Accident,"Laging Handa, Kamuning, Quezon City, NCR",130000000,137700000,Not Indicated,123,Police Station 10 Kamuning,mc00,0000-00-00,Tue - Jul 
